Human gene name,Human gene stable ID,Gene name
,,Gm21658
,,Gm29568
,,Gm29567
,,Gm21198
,,Gm29566
,,Gm29565
,,Gm29147
,,Gm29146
,,Gm28664
,,Gm28663
,,Gm29149
,,Gm29148
,,Gm29145
,,Gm29144
,,Gm28817
,,Gm28816
,,Gm20808
,,Gm20806
,,Gm28815
,,Gm28814
,,Gm28813
,,Gm29274
,,Gm29275
SYCP3,ENSG00000139351,Gm29276
,,Gm21805
,,Gm29645
,,Gm28312
,,Gm29165
,,Gm21242
,,Gm29042
,,Gm29031
,,Gm28311
,,Gm29032
,,Gm28310
,,Gm29606
,,Gm28504
,,Gm29607
,,Gm28567
,,Gm21248
,,Gm28568
,,Gm29189
,,Gm29286
,,Gm29285
,,Gm28280
,,Gm21241
,,Gm28159
,,Gm28278
,,Gm28160
,,Gm28157
,,Gm28158
,,Gm21257
,,Gm28161
,,Gm28695
,,Gm28696
,,Gm20791
,,Gm28886
,,Gm20841
,,Gm28899
,,Gm29426
,,Gm28885
,,Gm21856
,,Gm28887
,,Gm28896
,,Gm29444
,,Gm21282
,,Gm21783
,,Gm28895
,,Gm29445
,,Gm28894
,,Gm21829
,,Gm28457
,,Gm29324
,,Gm21779
,,Gm28741
,,Gm20912
,,Gm20801
,,Gm28742
,,Gm28458
,,Gm21919
,,Gm28743
,,Gm28459
,,Gm28461
,,Gm28124
,,Gm21790
,,Gm21728
,,Gm28460
,,Gm28126
,,Gm28851
,,Gm28125
,,Gm28456
,,Gm21825
,,Gm29073
,,Gm29648
,,Gm29647
,,Gm29468
,,Gm29646
,,Gm29469
,,Gm29472
,,Gm28549
,,Gm29473
,,Gm29211
,,Gm29470
,,Gm29212
,,Gm21333
,,Gm21247
,,Gm29382
,,Gm28224
,,Gm29210
,,Gm28226
,,Gm29213
,,Gm28225
,,Gm28550
,,Gm21344
,,Gm28604
,,Gm20849
,,Gm28603
,,Gm28829
,,Gm21901
,,Gm28565
,,Gm28566
,,Gm28697
,,Gm28828
,,Gm28554
,,Gm28831
,,Gm28832
,,Gm21864
,,Gm21802
,,Gm28658
,,Gm29238
,,Gm29056
,,Gm21088
,,Gm29239
,,Gm29098
,,Gm54343
,,Gm21170
,,Gm21741
,,Gm29373
,,Gm20862
,,Gm54344
,,Gm29370
,,Gm20863
,,Gm21751
,,Gm20864
,,Gm29476
,,Gm29166
,,Gm21717
,,Gm28194
,,Gm28753
,,Gm21191
,,Gm21271
,,Gm28475
,,Gm28476
,,Gm21281
,,Gm21380
,,Gm28193
,,Gm21782
,,Gm28751
,,Gm28752
,,Gm28726
,,Gm21308
,,Gm29267
,,Gm29268
,,Gm21879
,,Gm29269
,,Gm28757
,,Gm29270
,,Gm20856
,,Gm28348
,,Gm28973
,,Gm29271
,,Gm21734
,,Gm28972
,,Gm28970
,,Gm28971
,,Gm54345
,,Gm21785
,,Gm20854
,,Gm28349
,,Gm21892
,,Gm28346
,,Gm28345
,,Gm29090
,,Gm28152
,,Gm54346
,,Gm21881
,,Gm21435
,,Gm29505
,,Gm21862
,,Gm28823
,,Gm28871
,,Gm28220
,,Gm29512
,,Gm29511
SYCP3,ENSG00000139351,Gm20820
,,Gm20880
,,Gm28219
,,Gm20881
,,Gm28218
,,Gm29121
,,Gm54347
,,Gm29120
,,Gm20861
,,Gm29117
,,Gm20860
,,Gm28057
,,Gm21796
,,Gm29302
SYCP3,ENSG00000139351,Gm20883
,,Gm29119
,,Gm29118
,,Gm28440
,,Gm29299
,,Gm29116
,,Gm20889
,,Gm29298
,,Gm20887
,,Gm29092
,,Gm29091
,,Gm29320
,,Gm21849
,,Gm29297
,,Gm21462
,,Gm21470
,,Gm28366
,,Gm29319
,,Gm28317
,,Gm28318
,,Gm20884
,,Gm28313
,,Gm28314
,,Gm28315
,,Gm29115
,,Gm21813
,,Gm28316
,,Gm21387
,,Gm21396
,,Gm28944
SYCP3,ENSG00000139351,Gm20906
,,Gm28943
,,Gm29111
,,Gm28946
,,Gm28110
,,Gm28945
,,Gm28109
,,Gm28108
,,Gm28107
,,Gm28106
,,Gm28949
,,Gm28948
,,Gm28716
,,Gm28717
,,Gm28718
,,Gm28950
,,Gm21245
,,Gm29162
,,Gm29169
,,Gm21777
,,Gm21899
,,Gm28866
,,Gm29063
,,Gm28737
,,Gm28405
,,Gm21792
,,Gm28738
,,Gm28406
,,Gm20923
,,Gm28978
,,Gm29436
,,Gm28197
,,Gm20819
,,Gm21249
,,Gm29437
,,Gm28736
,,Gm28977
,,Gm21840
,,Gm28407
,,Gm21287
,,Gm29390
,,Gm28735
,,Gm29391
,,Gm21720
,,Gm29392
,,Gm28672
,,Gm28734
,,Gm21838
,,Gm28232
,,Gm28670
,,Gm28671
,,Gm28732
,,Gm28673
,,Gm28733
,,Gm28674
,,Gm21268
,,Gm21275
,,Gm28233
,,Gm28235
,,Gm28234
,,Gm21902
,,Gm21803
,,Gm28930
,,Gm20879
,,Gm28236
,,Gm21285
,,Gm29504
,,Gm20747
,,Gm29250
,,Gm29251
,,Gm21906
,,Gm29252
,,Gm29248
,,Gm29249
,,Gm29484
,,Gm21920
,,Gm28908
,,Gm28907
,,Gm21749
SYCP3,ENSG00000139351,Gm20929
,,Gm28910
,,Gm28909
,,Gm28276
,,Gm28274
,,Gm28275
,,Gm21302
,,Gm28290
,,Gm28292
,,Gm28291
,,Gm28293
,,Gm21740
,,Gm21912
,,Gm28698
,,Gm29304
,,Gm29305
,,Gm29303
,,Gm21894
,,Gm29307
,,Gm29557
,,Gm54348
,,Gm20927
,,Gm20930
,,Gm29306
,,Gm29300
,,Gm29301
,,Gm29558
,,Gm29555
,,Gm21733
,,Gm21330
,,Gm28355
,,Gm28354
,,Gm28353
,,Gm28352
,,Gm28200
,,Gm28201
,,Gm28202
,,Gm28203
,,Gm21340
,,Gm28204
,,Gm28205
,,Gm28206
,,Gm28207
,,Gm28208
,,Gm21851
,,Gm21819
,,Gm29224
,,Gm29223
,,Gm29222
,,Gm29221
,,Gm29220
,,Gm21815
,,Gm29132
,,Gm21450
,,Gm21843
,,Gm28889
,,Gm28691
,,Gm28692
,,Gm20794
,,Gm28690
,,Gm28689
,,Gm28687
,,Gm20987
,,Gm21918
,,Gm29207
,,Gm29204
,,Gm21489
,,Gm21832
,,Gm21573
,,Gm21577
,,Gm29206
,,Gm29614
,,Gm29613
,,Gm29612
,,Gm29343
,,Gm29342
,,Gm20804
,,Gm28598
,,Gm28599
,,Gm28185
,,Gm29037
,,Gm20823
,,Gm21877
,,Gm29548
,,Gm29547
,,Gm29546
,,Gm29545
,,Gm29544
,,Gm29209
,,Gm29549
,,Gm21530
,,Gm21617
,,Gm28589
,,Gm29420
,,Gm29421
SYCP3,ENSG00000139351,Gm21627
,,Gm29422
,,Gm28808
,,Gm21634
,,Gm28446
,,Gm29060
,,Gm29061
,,Gm20885
,,Gm29062
,,Gm29057
,,Gm29625
,,Gm21654
,,Gm29058
,,Gm29059
,,Gm29628
,,Gm20882
,,Gm20907
,,Gm29623
,,Gm29622
,,Gm29265
SYCP3,ENSG00000139351,Gm20908
,,Gm29259
,,Gm28860
,,Gm28252
,,Gm28859
,,Gm20921
,,Gm21826
,,Gm28254
,,Gm28861
,,Gm28255
,,Gm21171
,,Gm20924
,,Gm21848
,,Gm29457
SYCP3,ENSG00000139351,Gm20736
,,Gm28558
,,Gm28560
,,Gm28561
,,Gm29584
,,Gm20936
,,Gm20934
,,Gm21895
,,Gm28134
,,Gm28135
,,Gm20933
,,Gm28133
,,Gm28137
,,Gm28138
,,Gm21837
,,Gm21910
,,Gm21889
,,Gm29378
,,Gm29379
,,Gm29380
,,Gm29381
,,Gm28795
,,Gm20852
,,Gm29003
,,Gm29001
,,Gm29002
,,Ssty2
,,Gm28646
,,Gm28612
,,Gm28613
,,Gm28611
,,Gm21114
,,Gm21794
,,Gm29219
,,Gm29632
,,Gm29631
,,Gm29637
,,Gm20874
,,Gm29082
,,Gm29217
,,Gm29636
,,Gm29635
,,Gm29634
,,Gm29639
,,Gm21806
,,Gm20935
,,Gm29662
,,Gm29660
,,Gm29661
,,Gm29659
SYCP3,ENSG00000139351,Gm20937
,,Gm29450
,,Gm29449
,,Gm31335
,,Gm37690
,,Gm32114
,,Gm37075
,,Gm37921
,,Gm32180
,,Gm38371
,,Gm37657
,,Gm37448
,,Gm33163
,,Gm21065
,,Gm36978
,,Gm37721
,,Gm37129
,,Gm37990
SYCP3,ENSG00000139351,Gm21366
,,Gm33954
,,Gm37538
,,Gm21871
,,Gm34274
,,Gm34217
,,Gm21469
,,Gm21661
,,Gm37952
,,Gm21907
,,Gm37627
,,Gm20925
,,Gm20926
,,Gm37454
,,Gm38138
,,Gm29740
,,Gm37840
,,Gm37574
,,Gm21768
,,Gm37172
,,Gm35670
,,Gm20840
,,Gm35955
,,Gm37687
,,Gm38296
,,Gm38290
,,Gm38121
,,Gm36047
,,Gm36345
,,Gm37157
,,Gm38017
,,Gm36468
,,Gm21845
,,Gm20809
,,Gm37434
,,Gm37071
,,Gm37547
,,Gm36968
,,Gm37237
,,Gm38350
,,Gm20858
,,Gm31422
,,Gm37798
,,Gm37318
,,Gm31572
,,Gm21890
,,Gm21443
,,Gm37346
,,Gm38136
,,Gm37991
,,Gm37808
,,Gm33571
,,Gm32181
,,Gm28662
,,Gm28780
,,Gm21755
,,Gm20895
,,Gm28853
,,Gm28852
,,Gm28855
,,Gm28246
,,Gm28247
,,Gm28248
,,Gm20892
,,Gm28249
,,Gm28250
,,Gm28251
,,Gm28243
,,Gm28244
,,Gm21771
,,Gm21476
,,Gm29021
,,Gm28880
,,Gm28452
,,Gm28454
,,Gm28878
,,Gm28879
,,Gm29369
,,Gm21506
,,Gm29399
,,Gm29400
,,Gm29401
,,Gm20891
,,Gm20893
,,Gm28799
,,Gm28938
,,Gm28937
,,Gm28936
,,Gm21642
,,Gm21804
,,Gm29122
,,Gm28939
,,Gm28983
,,Gm28985
,,Gm20810
,,Gm20811
,,Gm28725
,,Gm28984
,,Gm28987
,,Gm28986
,,Gm29171
,,Gm28129
,,Gm28127
,,Gm28128
,,Gm21853
,,Gm28132
,,Gm28130
,,Gm28131
,,Gm29317
,,Gm29316
,,Gm29315
,,Gm28216
,,Gm28217
,,Gm28093
,,Gm28092
,,Gm28091
,,Gm28090
,,Gm29580
,,Gm28089
,,Gm28088
,,Gm21529
,,Gm29581
,,Gm21539
,,Gm29578
,,Gm21908
,,Gm21780
,,Gm28486
,,Gm21737
,,Gm28487
RBMY1D,ENSG00000244395,Rbmyf4
RBMY1F,ENSG00000169800,Rbmyf4
RBMY1A1,ENSG00000234414,Rbmyf4
RBMY1B,ENSG00000242875,Rbmyf4
RBMY1J,ENSG00000226941,Rbmyf4
RBMY1E,ENSG00000242389,Rbmyf4
RBMY1D,ENSG00000244395,Rbmyf5
RBMY1F,ENSG00000169800,Rbmyf5
RBMY1A1,ENSG00000234414,Rbmyf5
RBMY1B,ENSG00000242875,Rbmyf5
RBMY1J,ENSG00000226941,Rbmyf5
RBMY1E,ENSG00000242389,Rbmyf5
,,Gm29288
RBMY1D,ENSG00000244395,Rbmyf6
RBMY1F,ENSG00000169800,Rbmyf6
RBMY1A1,ENSG00000234414,Rbmyf6
RBMY1B,ENSG00000242875,Rbmyf6
RBMY1J,ENSG00000226941,Rbmyf6
RBMY1E,ENSG00000242389,Rbmyf6
,,Gm21139
RBMY1D,ENSG00000244395,Rbmyf7
RBMY1F,ENSG00000169800,Rbmyf7
RBMY1A1,ENSG00000234414,Rbmyf7
RBMY1B,ENSG00000242875,Rbmyf7
RBMY1J,ENSG00000226941,Rbmyf7
RBMY1E,ENSG00000242389,Rbmyf7
,,Gm21147
RBMY1D,ENSG00000244395,Rbmyf8
RBMY1F,ENSG00000169800,Rbmyf8
RBMY1A1,ENSG00000234414,Rbmyf8
RBMY1B,ENSG00000242875,Rbmyf8
RBMY1J,ENSG00000226941,Rbmyf8
RBMY1E,ENSG00000242389,Rbmyf8
,,Gm21156
,,Rhoay-ps2
,,Gm2316
RBMY1D,ENSG00000244395,Rbmyf9
RBMY1F,ENSG00000169800,Rbmyf9
RBMY1A1,ENSG00000234414,Rbmyf9
RBMY1B,ENSG00000242875,Rbmyf9
RBMY1J,ENSG00000226941,Rbmyf9
RBMY1E,ENSG00000242389,Rbmyf9
,,Gm2325
,,Gm28649
,,Gm8521
,,Gm18177
,,Gm28429
,,Gm28413
,,Gm28412
,,Gm8525
,,Gm28414
,,Gm28648
,,Gm28647
,,Gm29435
,,Vmn2r-ps139
,,Gm29038
,,Gm28191
,,Gm28186
,,Gm28241
,,Gm28242
,,Gm37222
,,Gm28357
,,Gm29352
,,Gm29351
,,Gm29350
,,Gm29349
,,Gm29355
,,Gm20918
,,Gm29161
,,Gm28767
,,Gm29160
,,Gm20915
,,Gm28766
,,Gm29159
,,Gm29198
,,Gm29193
,,Gm28430
,,Gm21746
,,Gm28593
,,Gm20873
,,Gm28916
,,Gm28915
,,Gm28918
,,Gm28443
,,Gm20830
,,Gm28442
,,Gm28445
,,Gm20788
,,Gm28997
SYCP3,ENSG00000139351,Gm28998
,,Gm28398
,,Gm28397
,,Gm28400
,,Gm28399
,,Gm28395
,,Gm21788
,,Gm28394
,,Gm28396
,,Gm28393
,,Gm20826
,,Vmn2r-ps149
SYCP3,ENSG00000139351,Gm28576
,,Gm28575
,,Gm28574
,,Gm28573
,,Gm28572
,,Gm28571
,,Gm28570
,,Gm29049
,,Gm20825
,,Gm29047
,,Gm29045
,,Gm29046
,,Gm29043
,,Gm29044
,,Gm37951
SYCP3,ENSG00000139351,Gm20824
,,Gm28146
,,Gm28145
,,Gm28148
,,Gm28147
,,Gm28142
,,Gm28141
,,Gm28144
,,Gm28143
,,Gm28150
,,Gm28149
,,Gm28098
,,Gm28330
,,Gm28331
,,Gm28099
,,Gm20815
,,Gm28328
,,Gm28329
,,Gm28270
,,Gm28327
,,Gm28097
,,Gm29365
,,Gm29329
,,Gm28848
,,Gm28846
,,Gm29471
,,Gm29474
,,Gm28506
,,Gm28507
,,Gm21301
,,Gm29142
,,Gm21310
,,Gm28509
,,Gm28508
,,Gm20834
,,Gm28953
,,Gm20776
,,Gm28958
,,Gm20828
,,Gm28957
,,Gm28956
,,Gm28952
,,Gm28951
,,Gm28390
,,Gm28391
,,Gm28389
,,Gm28655
,,Gm28654
,,Gm28657
,,Gm28656
,,Gm35108
,,Gm37739
,,Gm21736
,,Gm37654
,,Gm37044
,,Gm31511
,,Gm37572
,,Gm37344
,,Gm37059
,,Gm31942
,,Gm37440
,,Gm38185
,,Gm37395
,,Gm37577
,,Gm20822
,,Gm38183
,,Gm38149
,,Gm38145
,,Gm32033
,,Gm32447
,,Gm20770
,,Gm38016
,,Gm37158
,,Gm36998
,,Gm33112
,,Gm21809
,,Gm37635
,,Gm35070
,,Gm38094
,,Gm21763
,,Gm38369
,,Gm35843
,,Gm38168
,,Gm37740
,,Gm54350
,,Gm37723
,,Gm36261
,,Gm37898
,,Gm36467
,,Gm37927
,,Gm36891
,,Gm36929
,,Gm38174
,,Gm20910
,,Gm30598
,,Gm20909
,,Gm20865
,,Gm37462
,,Gm37658
,,Gm32347
,,Gm31123
,,Gm38370
,,Gm38054
,,Gm37476
,,Gm37369
,,Gm38181
,,1700020D14Rik
,,Gm29089
,,Gm2098
ZNF561,ENSG00000171469,Zfy1
ZNF562,ENSG00000171466,Zfy1
ZNF419,ENSG00000105136,Zfy1
ZNF772,ENSG00000197128,Zfy1
ZNF154,ENSG00000179909,Zfy1
ZNF256,ENSG00000152454,Zfy1
ZNF134,ENSG00000213762,Zfy1
ZNF587B,ENSG00000269343,Zfy1
ZNF552,ENSG00000178935,Zfy1
ZNF480,ENSG00000198464,Zfy1
ZNF610,ENSG00000167554,Zfy1
ZNF793,ENSG00000188227,Zfy1
ZNF837,ENSG00000152475,Zfy1
ZNF549,ENSG00000121406,Zfy1
ZNF584,ENSG00000171574,Zfy1
ZNF548,ENSG00000188785,Zfy1
ZNF792,ENSG00000180884,Zfy1
ZNF418,ENSG00000196724,Zfy1
ZNF773,ENSG00000152439,Zfy1
ZNF586,ENSG00000083828,Zfy1
ZNF304,ENSG00000131845,Zfy1
,,Uba1y
,,Gm28588
,,Gm28587
,,Rhoay-ps3
KDM5D,ENSG00000012817,Kdm5d
,,n-R5s1
,,Gm54351
,,Eif2s3y
,,Gm29650
UTY,ENSG00000183878,Uty
DDX3Y,ENSG00000067048,Ddx3y
,,Gm4017
,,Gm18665
USP9Y,ENSG00000114374,Usp9y
,,Gm25565
,,Gm17790
,,Gm29167
,,Gm8446
,,Gm28534
,,Gm28975
,,Gm28974
,,Gm18797
,,Rhoay-ps1
ZNF561,ENSG00000171469,Zfy2
ZNF562,ENSG00000171466,Zfy2
ZNF419,ENSG00000105136,Zfy2
ZNF772,ENSG00000197128,Zfy2
ZNF154,ENSG00000179909,Zfy2
ZNF256,ENSG00000152454,Zfy2
ZNF134,ENSG00000213762,Zfy2
ZNF587B,ENSG00000269343,Zfy2
ZNF552,ENSG00000178935,Zfy2
ZNF480,ENSG00000198464,Zfy2
ZNF610,ENSG00000167554,Zfy2
ZNF793,ENSG00000188227,Zfy2
ZNF837,ENSG00000152475,Zfy2
ZNF549,ENSG00000121406,Zfy2
ZNF584,ENSG00000171574,Zfy2
ZNF548,ENSG00000188785,Zfy2
ZNF792,ENSG00000180884,Zfy2
ZNF418,ENSG00000196724,Zfy2
ZNF773,ENSG00000152439,Zfy2
ZNF586,ENSG00000083828,Zfy2
ZNF304,ENSG00000131845,Zfy2
,,Uba1y-ps2
,,Gm18796
,,Gm29552
,,Gm29550
,,Gm29551
,,Gm8480
,,Gm29553
,,Gm54352
,,Gm28630
,,Gm28629
H2AL1Q,ENSG00000249467,H2al2c
H2AL3,ENSG00000229674,H2al2c
,,Uba1y-ps1
SRY,ENSG00000184895,Sry
,,Gm18798
H2AL1Q,ENSG00000249467,H2al2b
H2AL3,ENSG00000229674,H2al2b
,,Gm28628
RBMY1D,ENSG00000244395,Rbmyf1
RBMY1F,ENSG00000169800,Rbmyf1
RBMY1A1,ENSG00000234414,Rbmyf1
RBMY1B,ENSG00000242875,Rbmyf1
RBMY1J,ENSG00000226941,Rbmyf1
RBMY1E,ENSG00000242389,Rbmyf1
,,Gm6137
,,Gm8498
RBMY1D,ENSG00000244395,Rbmy
RBMY1F,ENSG00000169800,Rbmy
RBMY1A1,ENSG00000234414,Rbmy
RBMY1B,ENSG00000242875,Rbmy
RBMY1J,ENSG00000226941,Rbmy
RBMY1E,ENSG00000242389,Rbmy
RBMY1D,ENSG00000244395,Rbmyf2
RBMY1F,ENSG00000169800,Rbmyf2
RBMY1A1,ENSG00000234414,Rbmyf2
RBMY1B,ENSG00000242875,Rbmyf2
RBMY1J,ENSG00000226941,Rbmyf2
RBMY1E,ENSG00000242389,Rbmyf2
,,Gm8502
,,Gm8506
RBMY1D,ENSG00000244395,Rbmyf3
RBMY1F,ENSG00000169800,Rbmyf3
RBMY1A1,ENSG00000234414,Rbmyf3
RBMY1B,ENSG00000242875,Rbmyf3
RBMY1J,ENSG00000226941,Rbmyf3
RBMY1E,ENSG00000242389,Rbmyf3
,,Gm8510
,,Gm28819
,,Gm28840
,,Gm29179
,,Gm29178
,,Gm28969
,,Gm28677
,,Gm29617
,,Gm20803
,,Gm28835
,,Gm29624
,,Gm28253
,,Gm29586
,,Gm28136
,,Gm29377
,,Gm28749
,,Gm29000
,,Gm29633
,,Gm29218
,,Gm21679
,,Gm21064
,,4921509O09Rik
,,Gm29048
,,Tspy-ps
,,Gm20781
,,Rbm31y
,,Gm37325
,,Gm20833
,,Gm37865
,,Gm36941
,,Gm37937
,,Gm20772
,,Gm20831
,,Gm37286
,,Gm38028
,,Ssty1
,,Gm38072
,,Gm20851
,,Gm30312
,,Gm37433
,,Gm37473
,,Gm37656
,,Gm38127
,,Gm30638
,,Gm21904
,,Srsy
,,Gm21764
,,Gm34015
,,Gm20877
,,Gm33191
,,Gm38003
,,Gm21379
,,Gm36928
,,Gm20807
,,Gm38084
,,Gm37231
,,Gm37252
,,Gm21440
,,Gm21454
,,Gm37147
,,Gm38159
,,Gm37870
,,Gm37378
,,Gm36398
,,Gm37441
,,Gm37561
,,Gm36728
,,Gm32295
,,Gm20836
,,Gm37263
,,Gm28682
,,Gm28569
,,Gm28681
,,Gm28684
,,Gm21316
,,Gm21923
,,Gm28683
,,Gm28680
,,Gm28679
,,Gm21405
,,Gm28284
,,Gm29368
,,Gm21413
,,Gm28073
,,Gm21419
,,Gm28074
,,Gm21428
,,Gm28072
,,Gm21758
,,Gm29672
,,Gm29131
,,Gm20871
,,Gm29130
,,Gm20978
,,Gm29466
,,Gm29467
,,Gm21724
,,Gm20963
,,Gm28326
,,Gm28325
,,Gm29407
,,Gm29405
,,Gm29406
,,Gm20913
,,Gm29404
,,Gm29403
,,Gm28350
,,Gm28964
SYCP3,ENSG00000139351,Sly
,,Gm28165
,,Gm28709
,,Gm28965
,,Gm21868
,,Gm21943
,,Gm28532
,,Gm28533
,,Gm28966
SYCP3,ENSG00000139351,Gm28961
,,Gm28962
,,Gm28963
,,Gm28082
,,Gm21672
,,Gm21118
,,Gm29644
,,Gm29424
,,4932431L22Rik
,,Gm29425
,,Gm38361
,,Gm31260
,,Gm21660
,,Gm38209
,,Gm37734
,,Gm38013
,,Gm21678
,,Gm37948
,,Gm37442
,,Gm34550
,,Gm37544
,,Gm34716
SYCP3,ENSG00000139351,Gm29554
,,Gm29556
,,Gm20812
SYCP3,ENSG00000139351,Gm21258
SYCP3,ENSG00000139351,Gm20931
,,Gm29559
,,Gm20919
,,Gm20917
,,Gm28421
,,Gm28420
,,Gm28423
,,Gm28422
SYCP3,ENSG00000139351,Gm20916
,,Gm29033
,,Gm29034
,,Gm21823
,,Gm28339
SYCP3,ENSG00000139351,Gm20855
,,Gm28584
,,Gm28585
SYCP3,ENSG00000139351,Gm20896
,,Gm28470
,,Gm28469
,,Gm21898
,,Gm28668
SYCP3,ENSG00000139351,Gm20869
,,Gm28481
,,Gm28482
,,Gm28485
,,Gm21394
,,Gm28471
,,Gm21824
,,Gm29338
SYCP3,ENSG00000139351,Gm21409
,,Gm29339
,,Gm28759
,,Gm28758
,,Gm29071
,,Gm28947
SYCP3,ENSG00000139351,Gm20920
,,Gm28798
,,Gm28797
,,Gm28796
SYCP3,ENSG00000139351,Gm20894
SYCP3,ENSG00000139351,Gm21317
,,Gm28812
,,Gm28811
,,Gm28810
SYCP3,ENSG00000139351,Gm20835
,,Gm29027
SYCP3,ENSG00000139351,Gm20911
,,Gm28739
,,Gm29321
SYCP3,ENSG00000139351,Gm21117
SYCP3,ENSG00000139351,Gm20888
,,Gm28238
SYCP3,ENSG00000139351,Gm21650
,,Gm28541
,,Gm28542
,,Gm28600
SYCP3,ENSG00000139351,Gm21518
SYCP3,ENSG00000139351,Gm21209
,,Gm29180
,,Gm29181
SYCP3,ENSG00000139351,Gm20843
,,Gm29393
